,location,pop_size,pop_infected,start_day,end_day,pop_type,cum_infections,cum_deaths,rand_seed,avg_age,beta,avg_contacts_h,avg_contacts_s,avg_contacts_w,avg_contacts_c,total_contacts_h,total_contacts_s,total_contacts_w,total_contacts_c,total_contacts,agents_in_h,agents_in_s,agents_in_c,agents_in_w,avg_rel_sus
0,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,791634.0,1743.0,582544,29.401,0.01465,3.443,20.014,16.0,19.998,1659398,2731228,4346312,9998890,18735828,1659398,2731228,9998890,4346312,0.8242253
1,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,811405.0,1735.0,411553,29.42,0.01561,3.452,20.012,15.998,19.997,1663159,2733810,4347048,9998654,18742671,1663159,2733810,9998654,4347048,0.82473606
2,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,814960.0,1722.0,856692,29.393,0.01575,3.449,19.975,16.001,20.007,1662603,2731258,4346197,10003365,18743423,1662603,2731258,10003365,4346197,0.82434964
3,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,834737.0,1818.0,525718,29.391,0.01698,3.448,20.006,15.997,19.994,1661845,2729426,4346684,9997229,18735184,1661845,2729426,9997229,4346684,0.82427555
4,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,858812.0,1909.0,657947,29.395,0.01876,3.44,20.001,16.003,19.997,1657178,2732380,4341776,9998338,18729672,1657178,2732380,9998338,4341776,0.8241373
5,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,808540.0,1684.0,564440,29.406,0.01545,3.447,19.997,15.999,20.001,1661591,2732810,4346655,10000277,18741333,1661591,2732810,10000277,4346655,0.8242202
6,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,783519.0,1622.0,919777,29.481,0.0143,3.455,20.007,15.993,19.996,1664836,2718164,4355839,9998101,18736940,1664836,2718164,9998101,4355839,0.8254676
7,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,788630.0,1680.0,656631,29.398,0.01462,3.447,19.992,16.006,19.999,1660705,2728609,4347712,9999359,18736385,1660705,2728609,9999359,4347712,0.8241855
8,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,801738.0,1740.0,752852,29.422,0.01512,3.449,20.01,16.01,20.001,1662255,2725339,4353815,10000396,18741805,1662255,2725339,10000396,4353815,0.8245272
9,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,841978.0,1861.0,561563,29.433,0.01744,3.443,19.977,16.005,20.0,1659230,2725148,4348479,10000139,18732996,1659230,2725148,10000139,4348479,0.8245298
10,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,811440.0,1729.0,986204,29.423,0.01566,3.446,20.014,16.001,20.003,1661028,2727426,4348181,10001514,18738149,1661028,2727426,10001514,4348181,0.8244903
11,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,758381.0,1697.0,928257,29.428,0.01345,3.447,20.004,16.003,20.01,1661551,2736434,4339075,10005202,18742262,1661551,2736434,10005202,4339075,0.8246926
12,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,755152.0,1700.0,789707,29.387,0.01333,3.437,20.004,15.997,20.004,1656266,2735237,4342383,10001820,18735706,1656266,2735237,10001820,4342383,0.82400626
13,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,770587.0,1721.0,989623,29.412,0.01389,3.44,20.011,16.001,20.004,1657596,2730530,4349109,10002094,18739329,1657596,2730530,10002094,4349109,0.8244101
14,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,826883.0,1787.0,237990,29.388,0.01641,3.439,19.996,15.997,20.003,1656807,2732989,4334793,10001311,18725900,1656807,2732989,10001311,4334793,0.8239254
15,mongolia,1000000,1000,2020-01-01,2020-12-31,hybrid,794183.0,1725.0,159411,29.404,0.0149,3.441,20.001,16.001,20.008,1658455,2732790,4344591,10003877,18739713,1658455,2732790,10003877,4344591,0.8242289
